province,date,Edomdf
Guangdong,2014,22.035027386977873
Guangdong,2015,43.12169891947567
Guangdong,2016,14.198732791410462
Guangdong,2017,7.683366331288794
Guangdong,2018,15.356058800273443
Guangdong,2019,15.67953542707294
Guangdong,2020,13.605746200071199
Guangdong,2021,13.605746200068179
Guangdong,2022,13.605746200068179
Guangxi,2010,724.8484527640996
Guangxi,2011,220.51881799115614
Guangxi,2012,565.3376535120987
Guangxi,2013,537.4762576257987
Guangxi,2014,582.854320490791
Guangxi,2015,480.8053974075005
Guangxi,2016,344.4574206459385
Guangxi,2017,406.47240225506386
Guangxi,2018,278.9405219907917
Guangxi,2019,186.97276427561133
Guangxi,2020,474.1943370768625
Guangxi,2021,474.19433707686306
Guangxi,2022,474.19433707686306
Guizhou,2010,0.0
Guizhou,2011,0.0
Guizhou,2012,0.0
Guizhou,2013,23.098134733173588
Guizhou,2014,0.0
Guizhou,2015,0.0
Guizhou,2016,0.0
Guizhou,2017,0.0
Guizhou,2018,0.0
Guizhou,2019,0.0
Guizhou,2020,0.0
Guizhou,2021,0.0
Guizhou,2022,0.0
Hainan,2010,18.541152539096526
Hainan,2011,0.0
Hainan,2012,0.0
Hainan,2013,0.0
Hainan,2014,0.0
Hainan,2015,0.0
Hainan,2016,0.0
Hainan,2017,10.410565428015097
Hainan,2018,0.0
Hainan,2019,3.1823989396637837
Hainan,2020,1.7553796356407119
Hainan,2021,1.755379635640517
Hainan,2022,1.755379635640517
Hebei,2010,13.164747808285298
Hebei,2011,21.941976736554192
Hebei,2012,9.613553568116204
Hebei,2013,6.928612196778764
Hebei,2014,2.839865333564989
Hebei,2015,22.545326682319743
Hebei,2016,10.92504403772278
Hebei,2017,1.7345268839756611
Hebei,2018,0.0
Hebei,2019,0.0
Hebei,2020,0.0
Hebei,2021,0.0
Hebei,2022,0.0
Heilongjiang,2010,472.9451503595421
Heilongjiang,2011,239.76099879483382
Heilongjiang,2012,94.05723982165294
Heilongjiang,2013,375.4506516509965
Heilongjiang,2014,366.70642209525744
Heilongjiang,2015,401.70277994751524
Heilongjiang,2016,250.70497658249596
Heilongjiang,2017,32.05750879552247
Heilongjiang,2018,31.609686955561198
Heilongjiang,2019,33.58776392296256
Heilongjiang,2020,77.82790930361207
Heilongjiang,2021,77.82790930361232
Heilongjiang,2022,77.82790930361232
Henan,2010,39.51331158398998
Henan,2011,30.733457359750783
Henan,2012,32.32647820640605
Henan,2013,31.662750133153637
Henan,2014,33.318038038592455
Henan,2015,11.613030891740063
Henan,2016,9.682477211307152
Henan,2017,0.0
Henan,2018,0.0
Henan,2019,0.0
Henan,2020,0.0
Henan,2021,0.0
Henan,2022,0.0
Hubei,2010,351.632377348478
Hubei,2011,218.3332814853957
Hubei,2012,181.12164441749874
Hubei,2013,156.8293925684912
Hubei,2014,131.27052565231756
Hubei,2015,125.67287437780266
Hubei,2016,64.47225113269553
Hubei,2017,56.28802304420027
Hubei,2018,59.895346778943065
Hubei,2019,113.2240318629267
Hubei,2020,225.62730123479253
Hubei,2021,225.6273012347932
Hubei,2022,225.6273012347932
Hunan,2010,524.0665833729756
Hunan,2011,586.3443886546736
Hunan,2012,387.85232651186715
Hunan,2013,337.2705442029283
Hunan,2014,361.0433543789618
Hunan,2015,243.6255478172564
Hunan,2016,87.9964057987601
Hunan,2017,41.64505182077571
Hunan,2018,61.68731651636118
Hunan,2019,40.84781583482908
Hunan,2020,37.309067009262655
Hunan,2021,37.30906700926317
Hunan,2022,37.30906700926317
Inner Mongolia,2010,0.0
Inner Mongolia,2011,0.0
Inner Mongolia,2012,0.0
Inner Mongolia,2013,0.0
Inner Mongolia,2014,0.0
Inner Mongolia,2015,0.0
Inner Mongolia,2016,0.0
Inner Mongolia,2017,0.0
Inner Mongolia,2018,0.0
Inner Mongolia,2019,0.0
Inner Mongolia,2020,0.0
Inner Mongolia,2021,0.0
Inner Mongolia,2022,0.0
Jiangsu,2010,1105.8012674059898
Jiangsu,2011,1135.6327908176493
Jiangsu,2012,932.1485177429137
Jiangsu,2013,893.1956985476163
Jiangsu,2014,818.0121106281171
Jiangsu,2015,716.3270814934189
Jiangsu,2016,532.5011401528119
Jiangsu,2017,439.14771665069753
Jiangsu,2018,311.00233773100996
Jiangsu,2019,280.1023082309872
Jiangsu,2020,386.0736575785559
Jiangsu,2021,386.0736575785572
Jiangsu,2022,386.0736575785572
Jiangxi,2010,99.16294185536532
Jiangxi,2011,35.63113255855911
Jiangxi,2012,28.59207146149572
Jiangxi,2013,31.208297409302943
Jiangxi,2014,33.54191400595726
Jiangxi,2015,31.75667636816667
Jiangxi,2016,12.20373416875383
Jiangxi,2017,15.074868320501656
Jiangxi,2018,18.489904207165594
Jiangxi,2019,25.699865423904285
Jiangxi,2020,36.68695957524043
Jiangxi,2021,36.68695957524044
Jiangxi,2022,36.68695957524044
Jilin,2010,25.763057821624052
Jilin,2011,19.230801075158322
Jilin,2012,12.17234877694061
Jilin,2013,10.507392957982377
Jilin,2014,10.124303191021323
Jilin,2015,10.171265882008019
Jilin,2016,0.0
Jilin,2017,0.0
Jilin,2018,0.5365109634968356
Jilin,2019,0.0
Jilin,2020,0.0
Jilin,2021,0.0
Jilin,2022,0.0
Liaoning,2010,121.14690938974722
Liaoning,2011,181.48542343109787
Liaoning,2012,99.75442087092824
Liaoning,2013,110.45885642587884
Liaoning,2014,44.927113241193304
Liaoning,2015,77.5145701065064
Liaoning,2016,32.63168223738034
Liaoning,2017,6.742826387992193
Liaoning,2018,25.316336251237026
Liaoning,2019,2.2881378071068132
Liaoning,2020,17.22118278163506
Liaoning,2021,17.221182781634585
Liaoning,2022,17.221182781634585
Ningxia,2010,33.40042303305117
Ningxia,2011,16.525632246220745
Ningxia,2012,38.1460509517582
Ningxia,2013,17.39951052105088
Ningxia,2014,18.726439685832798
Ningxia,2015,41.1064165553619
Ningxia,2016,36.298551430369415
Ningxia,2017,0.0
Ningxia,2018,0.0
Ningxia,2019,0.0
Ningxia,2020,0.0
Ningxia,2021,0.0
Ningxia,2022,0.0
Qinghai,2010,0.0
Qinghai,2011,0.0
Qinghai,2012,0.0
Qinghai,2013,0.0
Qinghai,2014,0.0
Qinghai,2015,0.0
Qinghai,2016,31.53997618331104
Qinghai,2017,9.99453240300107
Qinghai,2018,10.231340659077395
Qinghai,2019,0.0
Qinghai,2020,0.0
Qinghai,2021,0.0
Qinghai,2022,0.0
Shaanxi,2010,108.35776913203112
Shaanxi,2011,28.406403420525915
Shaanxi,2012,14.495394991154887
Shaanxi,2013,0.0
Shaanxi,2014,0.0
Shaanxi,2015,1.464430308413653
Shaanxi,2016,0.0
Shaanxi,2017,0.0
Shaanxi,2018,0.0
Shaanxi,2019,0.0
Shaanxi,2020,0.0
Shaanxi,2021,0.0
Shaanxi,2022,0.0
Shandong,2010,63.858878691502554
Shandong,2011,63.85596960379842
Shandong,2012,33.255914284697255
Shandong,2013,23.081303245189723
Shandong,2014,5.752478116378106
Shandong,2015,3.327938691822906
Shandong,2016,1.9340521581159218
Shandong,2017,6.1162844569467465
Shandong,2018,4.123297972267822
Shandong,2019,10.092209067166515
Shandong,2020,10.045202903602904
Shandong,2021,10.04520290360346
Shandong,2022,10.04520290360346
Shanghai,2010,0.0
Shanghai,2011,0.0
Shanghai,2012,0.0
Shanghai,2013,0.0
Shanghai,2014,0.0
Shanghai,2015,20.32528821154923
Shanghai,2016,6.531911987427305
Shanghai,2017,5.382386104137687
Shanghai,2018,26.940826215671596
Shanghai,2019,23.96436555195426
Shanghai,2020,5.8668907190655135
Shanghai,2021,5.866890719065514
Shanghai,2022,5.866890719065514
Shanxi,2010,66.96095609695507
Shanxi,2011,66.88743972240174
Shanxi,2012,47.17986379016556
Shanxi,2013,37.787049467758244
Shanxi,2014,18.231856211703086
Shanxi,2015,12.617076230589564
Shanxi,2016,1.6751692604842736
Shanxi,2017,0.0
Shanxi,2018,0.0
Shanxi,2019,0.0
Shanxi,2020,0.0
Shanxi,2021,0.0
Shanxi,2022,0.0
Sichuan,2010,174.8509409189783
Sichuan,2011,217.59376713659765
Sichuan,2012,265.15351805353663
Sichuan,2013,304.13401429349295
Sichuan,2014,212.05101069628276
Sichuan,2015,232.83002826117317
Sichuan,2016,77.17940043864462
Sichuan,2017,68.02569556742851
Sichuan,2018,58.26497981237033
Sichuan,2019,87.24721150069797
Sichuan,2020,241.72901613140914
Sichuan,2021,241.72901613140914
Sichuan,2022,241.72901613140914
Tianjin,2010,133.12078146587686
Tianjin,2011,15.972952192299903
Tianjin,2012,13.017999053191286
Tianjin,2013,12.475359313781109
Tianjin,2014,11.87967548766059
Tianjin,2015,11.582064988361147
Tianjin,2016,4.452328920989374
Tianjin,2017,4.892727145274319
Tianjin,2018,4.141494813072847
Tianjin,2019,3.2989635019915586
Tianjin,2020,6.035915270226767
Tianjin,2021,6.0359152702267655
Tianjin,2022,6.0359152702267655
Tibet,2010,0.0
Tibet,2011,0.0
Tibet,2012,0.0
Tibet,2013,0.0
Tibet,2014,0.0
Tibet,2015,0.0
Tibet,2016,0.0
Tibet,2017,0.0
Tibet,2018,0.0
Tibet,2019,0.0
Tibet,2020,0.0
Tibet,2021,0.0
Tibet,2022,0.0
Xinjiang,2010,9.522021848118142
Xinjiang,2011,13.60748434993853
Xinjiang,2012,12.06660146937632
Xinjiang,2013,6.8042572258047525
Xinjiang,2014,6.53011365466806
Xinjiang,2015,9.84886924868112
Xinjiang,2016,12.668037321838069
Xinjiang,2017,8.458840494610982
Xinjiang,2018,0.8239913542418372
Xinjiang,2019,1.6546745345188651
Xinjiang,2020,0.0
Xinjiang,2021,0.0
Xinjiang,2022,0.0
Yunnan,2010,59.20792813329039
Yunnan,2011,88.77339559675801
Yunnan,2012,61.733104632591086
Yunnan,2013,24.427568818086456
Yunnan,2014,32.78128726191368
Yunnan,2015,22.410370406307965
Yunnan,2016,6.015294424157924
Yunnan,2017,7.818862093749758
Yunnan,2018,8.033328928456799
Yunnan,2019,3.6896331008319514
Yunnan,2020,17.338702823919924
Yunnan,2021,17.338702823920137
Yunnan,2022,17.338702823920137
Zhejiang,2010,221.60496380721412
Zhejiang,2011,161.26955528871184
Zhejiang,2012,127.23069276060932
Zhejiang,2013,122.92402854939573
Zhejiang,2014,99.51077971260592
Zhejiang,2015,124.1527237639101
Zhejiang,2016,58.5217751152445
Zhejiang,2017,61.75293150547402
Zhejiang,2018,59.16680198821979
Zhejiang,2019,63.66013027760301
Zhejiang,2020,45.939173593168164
Zhejiang,2021,45.93917359316647
Zhejiang,2022,45.93917359316647
